Image-Name,File-Type,File-Size,Converted-File-Size,Conversion-Time
"eight.png","png",652.41,0.883,79
"eighteen.jpg","jpg",102.597,6.491,55
"eleven.png","png",1043.71,0.884,83
"fifteen.png","png",175.799,0.884,213
"five.png","png",1478.982,0.884,285
"four.png","png",1800.017,0.884,85
"fourteen.png","png",1005.439,0.942,97
"nine.png","png",1489.822,0.899,82
"nineteen.jpg","jpg",107.393,6.491,53
"one.png","png",1357.296,0.884,92
"seven.png","png",1599.642,0.884,75
"seventeen.jpg","jpg",59.477,6.491,49
"six.png","png",349.394,0.865,65
"sixteen.jpg","jpg",96.589,6.491,49
"ten.png","png",356.253,0.884,68
"thirteen.png","png",1036.761,0.884,349
"three.png","png",985.324,0.899,87
"twelve.png","png",360.284,0.884,77
"twenty.jpg","jpg",180.229,6.491,54
"twenty_five.jpg","jpg",55.521,6.491,231
"twenty_four.jpg","jpg",44.04,6.491,48
"twenty_one.jpg","jpg",46.654,6.491,49
"twenty_three.jpg","jpg",61.632,6.491,52
"twenty_two.jpg","jpg",98.101,6.491,50
"two.png","png",1184.117,0.884,282
